,0
0,<pad>
1,<unk>
2,사랑
3,마음
4,im
5,어도
6,어요
7,다시
8,like
9,생각
10,oh
11,love
12,처럼
13,know
14,버리
15,사람
16,어서
17,ㄹ까
18,baby
19,그대
20,오늘
21,나의
22,이제
23,못하
24,ㄴ다
25,모르
26,지금
27,기억
28,세상
29,내가
30,모든
31,너무
32,아도
33,행복
34,그리하
35,는데
36,말하
37,바람
38,순간
39,yeah
40,너와
41,아직
42,하루
43,wanna
44,want
45,어야
46,없이
47,go
48,uh
49,매일
50,cant
51,아요
52,만나
53,보이
54,그냥
55,la
56,time
57,기다리
58,잖아
59,아서
60,ㄹ래
61,say
62,one
63,그렇
64,아프
65,보다
66,beep
67,으면
68,night
69,got
70,bad
71,정말
72,눈물
73,ㄴ데
74,feel
75,을까
76,ㄹ게
77,가슴
78,이야
79,하늘
80,let
81,인생
82,get
83,그러
84,모습
85,이렇
86,내리
87,노래
88,ㄹ지
89,원하
90,바라보
91,heart
92,ill
93,해지
94,느끼
95,그리
96,아무
97,예쁘
98,every
99,추억
100,다고
101,사라지
102,니까
103,서로
104,괜찮
105,떠나
106,나요
107,가득
108,see
109,gonna
110,way
111,come
112,향기
113,힘들
114,빛나
115,가지
116,make
117,다면
118,run
119,never
120,여자
121,back
122,많이
123,woo
124,나르
125,멈추
126,어떻
127,day
128,항상
129,미안
130,girl
131,소리
132,사이
133,한번
134,ㄴ지
135,다가
136,머리
137,따르
138,내일
139,바라
140,나오
141,ㄴ다고
142,라고
143,기분
144,라도
145,멀리
146,떨어지
147,만들
148,지우
149,찾아오
150,달리
151,대로
152,star
153,구름
154,그립
155,지나가
156,좋아하
157,bae
158,smoothie
159,ㅂ니다
160,진짜
161,지나
162,자꾸
163,take
164,흐르
165,tell
166,보내
167,미치
168,위하
169,아름답
170,친구
171,면서
172,keep
173,부르
174,without
175,away
176,life
177,미소
178,변하
179,give
180,고서
181,이별
182,처음
183,떠나가
184,영원
185,good
186,거리
187,ㄴ다면
188,ㄹ라
189,마지막
190,cause
191,언제나
192,필요
193,이유
194,계속
195,need
196,still
197,채우
198,always
199,심장
200,think
201,play
202,는지
203,라면
204,돌아가
205,mind
206,사실
207,어리
208,기에
209,이름
210,그날
211,햇살
212,빠지
213,going
214,light
215,얘기
216,이미
217,향하
218,후회
219,ㄴ가
220,그런
221,자리
222,live
223,dance
224,얼굴
225,어제
226,끝나
227,stay
228,너르
229,오빠
230,잠들
231,돌아오
232,old
233,please
234,감정
235,그대로
236,세월
237,점점
238,right
239,안되
240,hey
241,으며
242,떨리
243,바보
244,ah
245,비추
246,나도
247,어쩌
248,지치
249,숨기
250,ㄹ게요
251,그것
252,웃음
253,lie
254,dream
255,밖에
256,살아가
257,high
258,anti
259,거나
260,영원히
261,으니
262,차갑
263,시작
264,가끔
265,해보
266,boogie
267,lets
268,약속
269,에는
270,goal
271,그만
272,rider
273,발걸음
274,마다
275,다가오
276,바래
277,wish
278,주세
279,벚꽃
280,rolling
281,네요
282,걱정
283,even
284,바다
285,스럽
286,전하
287,상처
288,반복
289,남기
290,바쁘
291,뜨겁
292,어떡하
293,사진
294,오오
295,babe
296,thats
297,break
298,전화
299,ya
300,의미
301,어둡
302,call
303,fly
304,하얗
305,eyes
306,꽃잎
307,보여주
308,아무것
309,could
310,find
311,은데
312,fall
313,stop
314,당기
315,feeling
316,피어나
317,black
318,이야기
319,수많
320,new
321,도록
322,계절
323,worry
324,교회
325,로또
326,이렇게
327,이루
328,아주
329,아래
330,어둠
331,stupid
332,touch
333,흔들
334,boy
335,절대
336,제일
337,음악
338,제발
339,거짓말
340,빨리
341,기로
342,오르
343,설레
344,어느새
345,어깨
346,슬프
347,world
348,헤어지
349,불어오
350,care
351,흘러가
352,shine
353,을래
354,ㄴ다는
355,때문
356,안녕
357,천천히
358,소중
359,라는
360,fire
361,맞추
362,아픔
363,broken
364,가장
365,가요
366,이리
367,느낌
368,아무렇
369,따스
370,아침
371,따뜻
372,기대
373,달콤
374,눈빛
375,민수
376,deep
377,취하
378,put
379,여도
380,현실
381,에요
382,지키
383,외치
384,몰르
385,ooh
386,blue
387,무너지
388,마시
389,가보
390,미련
391,antihero
392,hero
393,잊히
394,rode
395,세요
396,aint
397,멋지
398,붙잡
399,okay
400,어렵
401,그리움
402,ive
403,라서
404,려고
405,반짝이
406,goin
407,걸음
408,game
409,level
410,story
411,찬란
412,wassup
413,cuz
414,고맙
415,rappahohik
416,일상
417,고백
418,dreams
419,떠올리
420,far
421,익숙
422,너무나
423,번지
424,다는
425,hold
426,종일
427,smile
428,용기
429,흐리
430,가리
431,better
432,다르
433,bang
434,남자
435,고민
436,lost
437,die
438,everything
439,돌리
440,새롭
441,슬픔
442,지내
443,이러
444,alone
445,show
446,super
447,안기
448,듯이
449,그녀
450,시선
451,really
452,쌓이
453,피우
454,나누
455,흩어지
456,어지럽
457,외롭
458,together
459,나라
460,겨울
461,준비
462,said
463,자고
464,필요없
465,ride
466,들어오
467,look
468,mine
469,well
470,달려가
471,hope
472,표정
473,펑펑
474,side
475,머릿속
476,나쁘
477,ready
478,엄마
479,shit
480,도망가
481,먼저
482,가만히
483,days
484,gone
485,비우
486,시원
487,waiting
488,ok
489,터지
490,던지
491,yuh
492,뭐하
493,불르
494,새벽
495,견디
496,em
497,tonight
498,위험
499,어색
500,아름
501,대이
502,ra
503,힘센
504,stand
505,감추
506,가사
507,들리
508,무디
509,떠오르
510,공기
511,상상
512,희망
513,자유
514,만이
515,damage
516,파도
517,believe
518,가도
519,두렵
520,아냐
521,happy
522,little
523,leave
524,춤추
525,behavior
526,꿈꾸
527,ㄹ수록
528,꺼지
529,pull
530,있었
531,더라
532,skoot
533,two
534,이대로
535,블루스
536,head
537,그림자
538,지네
539,흘리
540,한테
541,듯하
542,city
543,fast
544,한국
545,miss
546,listen
547,머물
548,위로
549,face
550,정말로
551,나랑
552,펼쳐지
553,느껴지
554,봄날
555,한잔
556,빠져들
557,환하
558,물들
559,그곳
560,잘나
561,shining
562,feels
563,pop
564,세계
565,새기
566,일어나
567,matter
568,huh
569,서울
570,nothin
571,hard
572,더하
573,stars
574,데리
575,가볍
576,구나
577,이란
578,done
579,나비
580,자꾸만
581,우연히
582,everybody
583,freaky
584,ta
585,yes
586,sheesh
587,dari
588,군산
589,속삭이
590,마주치
591,대하
592,바꾸
593,목소리
594,적시
595,sky
596,name
597,watch
598,도망치
599,real
600,아마
601,하다
602,진심
603,똑같
604,hate
605,태양
606,나무
607,close
608,coming
609,돌아보
610,조금씩
611,butterfly
612,잎새
613,미래
614,잘하
615,선명
616,으니까
617,날씨
618,간직
619,마이크
620,운명
621,공간
622,머무르
623,맡기
624,커지
625,무겁
626,turn
627,hoo
628,깨우
629,피해
630,가득히
631,us
632,alright
633,흔들리
634,노을
635,midnight
636,택배
637,rain
638,멀리서
639,till
640,마법
641,달라지
642,따라가
643,불빛
644,부족
645,tight
646,fight
647,자연스레
648,날아가
649,cannot
650,나가
651,end
652,귀엽
653,hear
654,존재
655,문득
656,달빛
657,ha
658,무섭
659,아무리
660,소리치
661,another
662,끝내
663,영화
664,한참
665,birthday
666,마음속
667,already
668,tip
669,dive
670,비밀
671,money
672,벌써
673,먼지
674,배우
675,태어나
676,들어가
677,bye
678,bout
679,홀로
680,bitch
681,바뀌
682,근데
683,선물
684,더욱
685,온기
686,표현
687,repotory
688,closely
689,귀기울이
690,자가
691,소리지르
692,홀리
693,nothing
694,이기
695,try
696,knows
697,모이
698,흘르
699,넘기
700,가기
701,wait
702,울리
703,웅위
704,떠오
705,beautiful
706,bring
707,이끌리
708,사랑이
709,맴돌
710,closer
711,환상
712,쓰라리
713,드리우
714,징글징글
715,삼키
716,flow
717,포기
718,falling
719,넘어지
720,오래
721,인사
722,시절
723,날으
724,몰래
725,연락
726,pain
727,기회
728,애써
729,흔적
730,friend
731,두고
732,번째
733,renegade
734,어머니
735,살아오
736,어라
737,모래
738,ever
739,sip
740,돌이키
741,zingzingzing
742,hide
743,걸어가
744,이해
745,꿈속
746,여운
747,다행
748,afraid
749,드리
750,대도
751,신경
752,평생
753,해내
754,나아가
755,water
756,고양이
757,특별
758,change
759,기도
760,강물
761,담기
762,갈래
763,whats
764,불안
765,그림
766,희미
767,별빛
768,생기
769,요즘
770,looking
771,퍼지
772,sad
773,getting
774,어울리
775,놓치
776,slow
777,피어오르
778,inside
779,last
780,쓰리
781,넘치
782,ㄹ까요
783,눈부시
784,청춘
785,deny
786,true
787,da
788,hush
789,흩날리
790,누군가
791,무지개
792,bararam
793,리라
794,꼬꼬
795,cream
796,유난히
797,heyday
798,원망
799,youth
800,통해
801,없었
802,고개
803,정도
804,날리
805,정신
806,믿음
807,먹이
808,핸드폰
809,언니
810,fake
811,연기
812,나한
813,여행
814,밤새
815,guess
816,비치
817,alive
818,thinking
819,그리워하
820,bounce
821,진실
822,higher
823,평범
824,깊이
825,을게
826,much
827,해피엔딩
828,phone
829,sometimes
830,forever
831,control
832,연습
833,와요
834,오예
835,chocolate
836,들려오
837,살이
838,except
839,고향
840,쏘맥
841,귀찮
842,gotta
843,toe
844,어차피
845,밤하늘
846,잃어버리
847,부시
848,잊어버리
849,used
850,lose
851,대답
852,선택
853,이나
854,침묵
855,기쁨
856,내보
857,인연
858,가족
859,plus
860,body
861,다그
862,지도
863,버티
864,imma
865,잡히
866,말리
867,마주하
868,이끌
869,결말
870,round
871,타오르
872,척하
873,피부
874,장난
875,부서지
876,siren
877,hot
878,sweet
879,영혼
880,magnetic
881,dashdada
882,understand
883,things
884,빠빠빠빠빠
885,checked
886,mean
887,reason
888,hyper
889,long
890,car
891,뻔하
892,피하
893,made
894,거기
895,도시
896,벗어나
897,새끼
898,불꽃
899,memories
900,place
901,래퍼
902,nobody
903,pour
904,커피
905,사랑받
906,boom
907,갈게
908,감사
909,따라오
910,다네
911,거울
912,다니
913,whole
914,빙빙
915,미워하
916,낯설
917,스치
918,고통
919,그렇게
920,dear
921,핑계
922,움직이
923,맛있
924,beat
925,follow
926,umm
927,ㄹ래요
928,na
929,지배
930,피어
931,신화
932,아가씨
933,아리
934,맥주
935,부담
936,talk
937,tomorrow
938,어야지
939,들이
940,걸리
941,원해
942,과거
943,scene
944,일찍
945,lonely
946,everyday
947,든지
948,나이
949,편안
950,못나
951,간절
952,올리
953,태우
954,대체
955,물어보
956,fade
957,elevate
958,눈치
959,remember
960,step
961,시작하
962,거지
963,생명
964,동물
965,한숨
966,웃기
967,people
968,sleep
969,shots
970,sing
971,low
972,되돌리
973,확실
974,말로
975,생일
976,ye
977,bolo
978,죽음
979,이대
980,서툴
981,loving
982,지금지금
983,두드리
984,기적
985,cry
986,would
987,mamacita
988,발자국
989,ㅂ시다
990,fuego
991,당연
992,쏟아지
993,연인
994,넘어가
995,독도
996,갈매기
997,완벽
998,달이
999,챙기
1000,rock
1001,전혀
1002,시련
1003,높이
1004,song
1005,어른
1006,원래
1007,외로
1008,흐릿
1009,return
1010,journey
1011,알아주
1012,담배
1013,모금
1014,알아보
1015,sun
1016,오만
1017,매력
1018,walking
1019,고치
1020,새겨지
1021,발견
1022,왠지
1023,외로움
1024,주변
1025,wake
1026,화려
1027,떠나버리
1028,확인
1029,솔직
1030,손잡
1031,봐주
1032,바퀴
1033,을까요
1034,cold
1035,손가락
1036,행운
1037,watching
1038,psycho
1039,color
1040,fallin
1041,헷갈리
1042,너머
1043,꺼내
1044,가을
1045,아기
1046,대전
1047,nectar
1048,walk
1049,지요
1050,아무런
1051,ㄴ가요
1052,hy
1053,tonic
1054,내사
1055,wrong
1056,distance
1057,living
1058,밝히
1059,박살
1060,rap
1061,다짐
1062,woah
1063,가치
1064,예전
1065,중요
1066,모으
1067,빠르
1068,드라마
1069,실수
1070,vibe
1071,배달
1072,색깔
1073,무언가
1074,smoke
1075,는가
1076,하단
1077,갇히
1078,offlimits
1079,best
1080,조명
1081,갑자기
1082,maybe
1083,nope
1084,idol
1085,또다시
1086,set
1087,brain
1088,피곤
1089,헤매이
1090,감각
1091,니깐
1092,같어
1093,으려
1094,놓이
1095,whatever
1096,통하
1097,music
1098,bed
1099,hand
1100,싸우
1101,에어팟
1102,전원
1103,bubble
1104,마주
1105,답답
1106,가버리
1107,아쉽
1108,푸른
1109,말없이
1110,strong
1111,home
1112,perfect
1113,오랜
1114,trying
1115,rush
1116,eh
1117,온종일
1118,아른거리
1119,울적
1120,질르
1121,anything
1122,catch
1123,거칠
1124,입술
1125,한없이
1126,달려오
1127,축하
1128,다정
1129,moonlight
1130,스며들
1131,makes
1132,고프
1133,뒷모습
1134,part
1135,loose
1136,apart
1137,bla
1138,애정
1139,괴물
1140,dark
1141,가라
1142,제자리
1143,practice
1144,edit
1145,thunder
1146,younger
1147,gaslight
1148,보시
1149,scar
1150,start
1151,가까이
1152,sorry
1153,아깝
1154,와사비
1155,리듬
1156,게임
1157,여름
1158,신나
1159,착각
1160,성공
1161,해진
1162,인정
1163,making
1164,실패
1165,관심
1166,눈앞
1167,주인공
1168,told
1169,man
1170,신발
1171,around
1172,웃음소리
1173,drink
1174,예술
1175,tryna
1176,forget
1177,보세
1178,내려놓
1179,행동
1180,자주
1181,거대
1182,올라가
1183,mayday
1184,미루
1185,노력
1186,말자
1187,받으
1188,communication
1189,오지
1190,지겹
1191,머금
1192,고요
1193,ice
1194,나타나
1195,theres
1196,fine
1197,적막
1198,시도
1199,memory
1200,창밖
1201,minute
1202,방안
1203,something
1204,drive
1205,pray
1206,roll
1207,en
1208,얼어붙
1209,우산
1210,부끄럽
1211,welcome
1212,스토리
1213,아빠
1214,첫눈
1215,running
1216,hottie
1217,filter
1218,promise
1219,애태우
1220,없잖
1221,잖아요
1222,서투르
1223,모험
1224,새하얗
1225,빠빠빠
1226,간장
1227,계란밥
1228,여유
1229,잘못
1230,taste
1231,반기
1232,아가
1233,rooftop
1234,보물
1235,눈꽃
1236,아아
1237,따듯
1238,귓가
1239,help
1240,whenever
1241,지나오
1242,사연
1243,야지
1244,이여
1245,하세
1246,인생길
1247,reset
1248,다가가
1249,card
1250,한계
1251,power
1252,이거
1253,소년
1254,king
1255,끌리
1256,막히
1257,빵빵
1258,인걸
1259,words
1260,lights
1261,버릇
1262,기억나
1263,버스
1264,우울
1265,잠기
1266,심심
1267,창문
1268,이치
1269,연결
1270,으면서
1271,시키
1272,쓰이
1273,party
1274,매이
1275,가야
1276,voice
1277,아버지
1278,걸치
1279,가두
1280,푸르
1281,씨앗
1282,조용히
1283,hello
1284,whos
1285,fuck
1286,하면
1287,dirty
1288,fear
1289,gon
1290,문제
1291,공허
1292,상관
1293,먹히
1294,신이
1295,더니
1296,locked
1297,망가지
1298,소음
1299,수요
1300,예배
1301,amen
1302,두려움
1303,괴롭히
1304,쓰러지
1305,도착
1306,시들
1307,yellow
1308,slide
1309,소주
1310,kiss
1311,찾아보
1312,cat
1313,이제야
1314,초콜릿
1315,댄스
1316,weve
1317,sway
1318,truth
1319,얼른
1320,crush
1321,물들이
1322,네모
1323,메마르
1324,따리
1325,샤바
1326,엇갈리
1327,이어지
1328,arms
1329,놀랍
1330,wonder
1331,candy
1332,사르르
1333,rainbow
1334,들어보
1335,대화
1336,살짝
1337,짬뽕
1338,hurt
1339,오랫동안
1340,순수
1341,황홀
1342,반쯤
1343,훨훨
1344,부드럽
1345,송이
1346,ㄴ단
1347,가라앉
1348,수줍
1349,금방
1350,외면
1351,우연
1352,비가
1353,반쪽
1354,sweetest
1355,편지
1356,lava
1357,포근
1358,leaving
1359,weather
1360,허공
1361,지난날
1362,라이
1363,웬수
1364,피네
1365,스띠
1366,단풍
1367,empath
1368,blessing
1369,tik
1370,완전
1371,바지
1372,shout
1373,아물
1374,언제쯤
1375,yo
1376,앨범
1377,역시
1378,부수
1379,무대
1380,여러
1381,위치
1382,조각
1383,여전
1384,yea
1385,을지
1386,act
1387,여태
1388,chasing
1389,괜히
1390,채로
1391,paranoid
1392,이쁘
1393,날개
1394,있음
1395,바램
1396,ay
1397,오래되
1398,찰나
1399,세우
1400,저녁
1401,자연
1402,신비
1403,욕심
1404,cool
1405,flame
1406,darkness
1407,sure
1408,trip
1409,slowly
1410,blind
1411,bra
1412,darkest
1413,moment
1414,정하
1415,flower
1416,ends
1417,though
1418,sign
1419,찢어지
1420,망설이
1421,거래
1422,easy
1423,되살리
1424,거스르
1425,같애
1426,rose
1427,찾아가
1428,반응
1429,끌어안
1430,카페
1431,려는
1432,save
1433,착하
1434,시계
1435,수록
1436,온몸
1437,keeps
1438,heartbeat
1439,summer
1440,설명
1441,blah
1442,만남
1443,녹아내리
1444,살랑거리
1445,들려주
1446,waste
1447,말투
1448,하고프
1449,며칠
1450,지켜보
1451,들이키
1452,중심
1453,girls
1454,honey
1455,addicted
1456,view
1457,soul
1458,belong
1459,차오르
1460,고이
1461,생각나
1462,시리
1463,고는
1464,미워지
1465,쓸쓸
1466,돌아서
1467,모질
1468,멍하니
1469,하루하루
1470,말거
1471,때쯤
1472,편하
1473,반하
1474,대신
1475,아쉬움
1476,learn
1477,ways
1478,언덕
1479,잔잔
1480,everyones
1481,somewhere
1482,storm
1483,산책
1484,shape
1485,감싸안
1486,아리랑
1487,ohh
1488,봄꽃
1489,마니
1490,deepest
1491,dog
1492,소서
1493,옥이
1494,pains
1495,crazy
1496,talking
1497,즐기
1498,cash
1499,comet
1500,죽이
1501,push
1502,여기저기
1503,이건
1504,보석
1505,쳐다보
1506,솔직히
1507,못되
1508,조이
1509,저물
1510,상관없
1511,올르
1512,집중
1513,변함없
1514,계획
1515,키우
1516,took
1517,left
1518,street
1519,found
1520,room
1521,메모
1522,인간
1523,ㄹ라고
1524,침대
1525,바닥
1526,bish
1527,덕분
1528,마냥
1529,향수
1530,구하
1531,언어
1532,다시금
1533,힘차
1534,수백
1535,망하
1536,보내주
1537,scare
1538,저리
1539,어두
1540,길이
1541,수도
1542,장면
1543,kind
1544,조심스레
1545,창가
1546,lil
1547,read
1548,spray
1549,밀리
1550,마르
1551,가시
1552,꼬집
1553,하염없이
1554,금세
1555,슬퍼지
1556,nights
1557,을께
1558,drowning
1559,정리
1560,상황
1561,비슷하
1562,mad
1563,번호
1564,green
1565,pass
1566,바치
1567,내주
1568,으려고
1569,녹이
1570,move
1571,아보
1572,reboot
1573,continue
1574,분위기
1575,마라
1576,맨날
1577,버블
1578,holy
1579,틀리
1580,special
1581,뒤돌
1582,future
1583,동네
1584,거짓
1585,들키
1586,ima
1587,happiness
1588,어딘가
1589,손짓
1590,hurry
1591,times
1592,mess
1593,yet
1594,door
1595,bright
1596,부딪히
1597,해맑
1598,그리워지
1599,bit
1600,unfolds
1601,꿈같
1602,chemistry
1603,meet
1604,verified
1605,feedin
1606,delusions
1607,delululu
1608,뒤돌아보
1609,scream
1610,오시
1611,레야
1612,발끝
1613,moon
1614,어디쯤
1615,건네
1616,을래요
1617,아득히
1618,아파하
1619,밀려오
1620,온통
1621,칵테일
1622,전시회장
1623,편질
1624,anywhere
1625,우주
1626,종이
1627,커다랗
1628,만지
1629,mouse
1630,대역
1631,재연
1632,cried
1633,chambers
1634,bruce
1635,recombination
1636,professional
1637,coastal
1638,brand
1639,wednesday
1640,wind
1641,sea
1642,nightmare
1643,육식
1644,서이
1645,랄랄
1646,늑대
1647,swim
1648,숨쉬
1649,pump
1650,gray
1651,품속
1652,거두
1653,이요
1654,걸어오
1655,다다
1656,사나이
1657,호미
1658,재우
1659,regret
1660,tok
1661,중독
1662,최고
1663,box
1664,무한
1665,끝없
1666,스타일
1667,iam
1668,south
1669,top
1670,꼭대기
1671,royal
1672,실력
1673,하기
1674,새로
1675,웠지
1676,지나치
1677,들어주
1678,drop
1679,갈수록
1680,자식
1681,멍청이
1682,천장
1683,당하
1684,glow
1685,doubt
1686,problem
1687,내버리
1688,배고프
1689,떠들
1690,따로
1691,보여
1692,stick
1693,drip
1694,big
1695,모레
1696,이따
1697,말르
1698,비싸
1699,온전히
1700,test
1701,smooth
1702,hesitate
1703,데려가
1704,다리
1705,환히
1706,열정
1707,season
1708,만끽
1709,말해
1710,else
1711,buy
1712,지새우
1713,mc
1714,차례
1715,갈대
1716,좀더
1717,냄새
1718,발목
1719,wah
1720,무릎
1721,수가
1722,멍청
1723,목숨
1724,입가
1725,우리네
1726,부리
1727,자라
1728,물결
1729,카메라
1730,lot
1731,known
1732,morning
1733,loud
1734,soon
1735,ugh
1736,서두르
1737,뛰어들
1738,만난
1739,moments
1740,애타
1741,주문
1742,하필
1743,정답
1744,열리
1745,drama
1746,자체
1747,빗물
1748,hop
1749,나지
1750,깨지
1751,해결
1752,hang
1753,shadow
1754,driving
1755,길래
1756,건느
1757,이르
1758,소망
1759,용서
1760,쳐주
1761,friends
1762,방식
1763,느리
1764,feelin
1765,shawty
1766,살며시
1767,못다
1768,다하
1769,hands
1770,maze
1771,파티
1772,oowee
1773,lemonade
1774,사뿐
1775,설레이
1776,olive
1777,ocean
1778,stuff
1779,샤넬
1780,켜지
1781,아파지
1782,장식
1783,정적
1784,에에
1785,흘러내리
1786,채워지
1787,spotlight
1788,awoo
1789,유일
1790,한걸음
1791,가깝
1792,노랗
1793,활짝
1794,후보
1795,파랗
1796,출발
1797,ㅁ에도
1798,아득
1799,트리
1800,highs
1801,lows
1802,고르
1803,한편
1804,이토록
1805,서서히
1806,내밀
1807,가로
1808,봄바람
1809,anymore
1810,아련
1811,골목길
1812,꽃향기
1813,someone
1814,ones
1815,소란
1816,보고
1817,모자라
1818,허락
1819,내려앉
1820,오후
1821,일초
1822,아끼
1823,called
1824,곱씹
1825,빗소리
1826,속이
1827,날아오
1828,날아오르
1829,상냥
1830,다오
1831,might
1832,turns
1833,던데
1834,빗방울
1835,universe
1836,somehow
1837,그만이
1838,가져가
1839,floor
1840,path
1841,맞닿
1842,스쳐가
1843,leaves
1844,awake
1845,대여
1846,제자리걸음
1847,싱글벙글
1848,mama
1849,의리
1850,에너지
1851,네온
1852,greeds
1853,work
1854,diamond
1855,으러
1856,맘대로
1857,cappers
1858,땡기
1859,hiphopstar
1860,길거리
1861,stronger
1862,불가능
1863,제대로
1864,건들
1865,뱉어
1866,투성이
1867,기계
1868,시체
1869,주인
1870,유전자
1871,닥치
1872,id
1873,무심코
1874,기어코
1875,빈자리
1876,rhythm
1877,pieces
1878,track
1879,진지
1880,지장
1881,et
1882,캐리어
1883,욕하
1884,carry
1885,shii
1886,때리
1887,clouds
1888,lit
1889,테이블
1890,뿌리
1891,선생
1892,살아남
1893,유령
1894,불타오르
1895,seoul
1896,스타
1897,없다
1898,이기적
1899,시기
1900,질투
1901,비굴
1902,damn
1903,sight
1904,대충
1905,돌아다니
1906,힙합
1907,밀지
1908,fucking
1909,작업
1910,minus
1911,bank
1912,account
1913,잔고
1914,정해지
1915,묻히
1916,red
1917,어루만지
1918,굴리
1919,straight
1920,deal
1921,duke
1922,first
1923,rich
1924,항시
1925,backpack
1926,ambitions
1927,distress
1928,고작
1929,흩뿌리
1930,까맣
1931,번쩍
1932,훔치
1933,ㄴ다네
1934,떠돌
1935,손길
1936,과녁
1937,today
1938,바닷가
1939,기대어
1940,거든
1941,찰칵
1942,block
1943,바리
1944,소용없
1945,shot
1946,수천
1947,fam
1948,clean
1949,장의
1950,road
1951,붉어지
1952,이후
1953,benz
1954,late
1955,skies
1956,says
1957,낭만
1958,cut
1959,burn
1960,근대
1961,jump
1962,허전
1963,사과
1964,pick
1965,nice
1966,맺히
1967,헤엄치
1968,혹시나
1969,마음껏
1970,자매
1971,상태
1972,빌려주
1973,나란히
1974,그려지
1975,school
1976,조심
1977,wild
1978,아름다움
1979,니요
1980,fold
1981,raw
1982,goat
1983,church
1984,ministry
1985,hisotry
1986,거꾸로
1987,gg
1988,오해
1989,runnin
1990,freedom
1991,free
1992,lay
1993,bomb
1994,seen
1995,끊어지
1996,brace
1997,꼬이
1998,zip
1999,눈동자
2000,모아
2001,trouble
2002,waves
2003,빨개지
2004,burning
2005,가늘
2006,lookin
2007,분명
2008,space
2009,favorites
2010,trendy
2011,filters
2012,tap
2013,reality
2014,behind
2015,타이밍
2016,deja
2017,vu
2018,giving
2019,달라붙
2020,whisper
2021,tie
2022,기울이
2023,illusion
2024,빠빠빠빠
2025,queen
2026,절망
2027,한입
2028,캔버스
2029,chest
2030,고장
2031,매달리
2032,wave
2033,흉터
2034,지진
2035,국물
2036,끝내주
2037,면발
2038,주저
2039,hell
2040,성심
2041,시다
2042,마리
2043,누나
2044,sns
2045,click
2046,한때
2047,불타
2048,을수록
2049,바삭바삭
2050,underneath
2051,bird
2052,cage
2053,이만
2054,마침표
2055,깊어지
2056,초라
2057,놓아주
2058,송두리째
2059,안부
2060,외로워
2061,방향
2062,묻어두
2063,fairytales
2064,나가보
2065,청혼
2066,부디
2067,ㄴ걸요
2068,이잉
2069,위이
2070,내도
2071,다그치
2072,달아나
2073,눈부심
2074,계단
2075,lying
2076,pinko
2077,달래
2078,서글프
2079,한동안
2080,들판
2081,fell
2082,지금껏
2083,습관
2084,벅차
2085,벼락
2086,살랑살랑
2087,살랑
2088,이놈
2089,공백
2090,seed
2091,이파
2092,선수
2093,build
2094,shelter
2095,peckish
2096,restaurant
2097,decisions
2098,가능
2099,훗날
2100,비워두
2101,anytime
2102,mi
2103,화가
2104,풀리
2105,궁금하
2106,예고
2107,adios
2108,뛰어오
2109,벙글
2110,지긋지긋
2111,지긋
2112,mother
2113,석양
2114,부딪치
2115,여지없
2116,어기
2117,어차
2118,하구
2119,달달
2120,물씬
2121,거라
2122,보리밭
2123,스물
2124,fail
2125,rainy
2126,ㄴ걸
2127,일식
2128,결혼
2129,louder
2130,하지
2131,gang
2132,상대
2133,original
2134,self
2135,무시
2136,꿀리
2137,가르치
2138,개소리
2139,박히
2140,참으
2141,이랑
